Species Name,Distribution
Quercus meavei,"MEXICO: (Hidalgo, Puebla, San Luis Potosi and Veracruz)"
Quercus melissae,"MEXICO: (Chiapas), GUATEMALA"
Quercus mexiae,MEXICO: Jalisco
Quercus mexicana,"MEXICO: (Chihuahua, Nuevo León, Tamaulipas, San Luis Potosí, Querétaro, Hidalgo, Veracruz, México State, México DF, Tlaxcala, Puebla)"
Quercus microphylla,"MEXICO: (Coahuila, Nuevo León, W Durango, Tamaulipas, San Luis Potosí, Nayarit, NE Jalisco, Aguascalientes, Guanajuato, Querétaro, Hidalgo, Veracruz, Puebla, Oaxaca)"
Quercus miquihuanensis,"MEXICO: (Nuevo León, Tamaulipas)"
Quercus mohriana,"USA: (NE New Mexico, W Oklahoma, WC & W Texas), MEXICO: (Coahuila)"
Quercus mulleri,MEXICO: (Oaxaca)
Quercus nixoniana,"MEXICO: (Jalisco, Guerrero, Oaxaca)"
Quercus oblongifolia,"USA: (Arizona, SW New Mexico, W Texas), MEXICO: (Sonora, Chihuahua, Coahuila, Durango)"
Quercus obtusanthera,MEXICO: (Guerrero)
Quercus obtusata,"MEXICO: (Nuevo León, Durango, S Zacatecas, San Luis Potosí, Nayarit, Jalisco, Guanajuato, Querétaro, Hidalgo, Veracruz, Michoacán, México State, México DF, Morelos, Puebla, Guerrero, Oaxaca)"
Quercus obtusata,MEXICO:
Quercus oleoides,"MEXICO: (Tamaulipas, San Luis Potosí, Querétaro, Hidalgo, Veracruz, Puebla, Oaxaca, Chiapas, Tabasco, Campeche, Yucatán), CENTRAL AMERICA: BELIZE, GUATEMALA (Alta Verapaz, Chiquimula, Petén, Izabal, Zacapa), HONDURAS, NICARAGUA, COSTA RICA"
Quercus oleoides,"MEXICO: (Puebla, Oaxaca, Chiapas, Tabasco, Campeche, Yucatán), CENTRAL AMERICA: BELIZE, GUATEMALA (Alta Verapaz, Chiquimula, Petén, Izabal, Zacapa), HONDURAS, NICARAGUA, COSTA RICA"
Quercus oocarpa,"MEXICO: (Nayarit, Jalisco, Veracruz, Guerrero, Chiapas), CENTRAL AMERICA: GUATEMALA (Baja Verapaz, Chiquimula, Guatemala, Huehuetenango, Zacapa), HONDURAS, COSTA RICA, PANAMA"
Quercus opaca,"MEXICO: (Tamaulipas, Hidalgo, México State, Oaxaca)"
Quercus ×pachucana,MEXICO: (Hidalgo)
Quercus palmeri,"USA: (Arizona, S California), MEXICO: (Baja California (Norte))"
Quercus ×pastorensis (Q. clivicola Trel. & C. H. Mull. × Q. glaucoides Humb. & Bonpl.),MEXICO: (Nuevo León)
Quercus paxtalensis,MEXICO: (Chiapas)
Quercus peduncularis,"MEXICO: (Nayarit, Jalisco, Veracruz, Colima, Michoacán, México State, Puebla, Guerrero, Oaxaca, Chiapas), CENTRAL AMERICA: BELIZE, GUATEMALA (Baja Verapaz, Chimaltenango, Chiquimula, El Quiché, Escuintla, Guatemala, Huehuetenango, Jalapa, Ju"
Quercus peninsularis,MEXICO: (Baja California (Norte))
Quercus perpallida,"MEXICO: (Baja California (Norte), Sonora, Chihuahua)"
Quercus pilicaulis,"MEXICO: (Chiapas), CENTRAL AMERICA: GUATEMALA (Baja Verapaz, Chimaltenango, Guatemala, Huehuetenango, Jutiapa, Quetzaltenango, Sacatepéquez, San Marcos, Sololá, Zacapa), HONDURAS"
Quercus pinnativenulosa,"MEXICO: (Nuevo León, Tamaulipas, San Luis Potosí, Querétaro, Veracruz)"
Quercus planipocula,"MEXICO: (Sinaloa, N Nayarit, S Jalisco, Guerrero, Michoacán)"
Quercus polymorpha,"USA: (S Texas), MEXICO: (Nuevo León, Tamaulipas, San Luis Potosí, Querétaro, Hidalgo, Veracruz, Puebla, Oaxaca, Chiapas), CENTRAL AMERICA: GUATEMALA (Chiquimula, Huehuetenango, Jalapa, Zacapa), HONDURAS"
Quercus porphyrogenita,MEXICO: (Nuevo León)
Quercus potosina,"MEXICO: (S Chihuahua, Durango, S Zacatecas, San Luis Potosí, N & NE Jalisco, Aguascalientes, Guanajuato)"
Quercus praeco,"MEXICO: (Zacatecas, Nayarit, Jalisco, Querétaro)"
Quercus pringlei,"MEXICO: (Coahuila, Nuevo León, Zacatecas, Querétaro)"
Quercus pungens,"USA: (Arizona, New Mexico, Texas), MEXICO: (Chihuahua, Coahuila)"
Quercus purulhana,"MEXICO: (Chiapas), CENTRAL AMERICA: BELIZE, GUATEMALA (Baja Verapaz, El Quiché, Sololá), HONDURAS, NICARAGUA"
Quercus radiata,"MEXICO: (Durango, Zacatecas, Nayarit)"
Quercus rekonis,MEXICO: (Oaxaca)
Quercus repanda,"MEXICO: (Querétaro, Hidalgo, Tlaxcala, Puebla)"
Quercus resinosa,"MEXICO: (Durango, S Zacatecas, San Luis Potosí, Nayarit, Jalisco, Aguascalientes, Guanajuato, Querétaro, Michoacán)"
Quercus rubramenta,"MEXICO: (Guerrero, Oaxaca)"
Quercus rugosa,"USA: (S Arizona, New Mexico, W Texas), MEXICO: (Sonora, Coahuila, Nuevo León, Durango, S Zacatecas, San Luis Potosí, Jalisco, Aguascalientes, Guanajuato, Querétaro, Hidalgo, Veracruz, Colima, Michoacán, México State, México DF, Morelos, Tlax"
Quercus rugosa,MEXICO: (Nuevo León)
Quercus rugosa,MEXICO: (Nuevo León)
Quercus rugosa,MEXICO: (Nuevo León)
Quercus runcinatifolia,MEXICO: (Nuevo León)
Quercus rysophylla,"MEXICO: (Nuevo León, San Luis Potosí, Querétaro, Hidalgo, Veracruz)"
Quercus salicifolia,"MEXICO: (Jalisco, Michoacán, Colima, Guerrero, Oaxaca, Chiapas), CENTRAL AMERICA: GUATEMALA (El Progreso, Huehuetenango, Zacapa), COSTA RICA, PANAMA"
Quercus saltillensis,"MEXICO: (Coahuila, Nuevo León)"
Quercus sanchez-colinii,MEXICO:
Quercus sapotifolia,"MEXICO: (Hidalgo, Veracruz, Oaxaca, Chiapas), CENTRAL AMERICA: BELIZE, GUATEMALA (Alta Verapaz, Baja Verapaz, Chiquimula, El Progreso, El Quiché, Guatemala, Huehuetenango, Jalapa, San Marcos), EL SALVADOR, HONDURAS, NICARAGUA, COSTA RICA, PA"
Quercus sapotifolia,MEXICO:
Quercus sartorii,"MEXICO: (San Luis Potosí, Querétaro, Veracruz, Puebla)"
Quercus schultzei,MEXICO: (Guerrero)
Quercus scytophylla,"MEXICO: (Sonora, Sinaloa, Nayarit, Jalisco, W Durango, Michoacán, México State, Puebla, Guerrero, Oaxaca)"
Quercus sebifera,"MEXICO: (Nuevo León, Tamaulipas, San Luis Potosí, Hidalgo, Veracruz, Puebla, Oaxaca, Chiapas)"
Quercus segoviensis,"MEXICO: (Chiapas), CENTRAL AMERICA: BELIZE, GUATEMALA (Baja Verapaz, Chimaltenango, Guatemala, Huehuetenango, Jalapa, Jutiapa, Sacatepéquez, San Marcos, Sololá, Zacapa), EL SALVADOR, HONDURAS, NICARAGUA"
Quercus sideroxyla,"MEXICO: (Sonora, Chihuahua, Coahuila, Nuevo León, Tamaulipas, W Durango, Zacatecas, San Luis Potosí, Nayarit, Jalisco, Aguascalientes, Guanajuato)"
Quercus sinuata,"USA: (Alabama, Arkansas, Florida, Georgia (US), Louisiana, Mississippi, North Carolina, Oklahoma, South Carolina, Texas), MEXICO: (Coahuila, Nuevo León, Tamaulipas)"
Quercus sinuata,"USA: (Oklahoma, Texas), MEXICO: (Coahuila, Nuevo León, Tamaulipas)"
Quercus skinneri,"MEXICO: (Tamaulipas, Veracruz, Oaxaca, Chiapas), CENTRAL AMERICA: BELIZE, GUATEMALA (Alta Verapaz, Baja Verapaz, Chimaltenango, El Quiché, Escuintla, Guatemala, Quetzaltenango, Sacatepéquez, San Marcos, Sololá), EL SALVADOR, HONDURAS"
Quercus sororia,"MEXICO: (Nayarit, Jalisco, W Michoacán, Guerrero, Oaxaca)"
Quercus striatula,"MEXICO: (Chihuahua, Durango, Zacatecas)"
Quercus subspathulata,"MEXICO: (Sonora, Chihuahua, N Sinaloa, Nayarit, S Durango, Jalisco)"
Quercus supranitida,MEXICO: (Nuevo León)
Quercus tarahumara,"MEXICO: (SE Sonora, SW Chihuahua, NE Sinaloa, NW Durango)"
Quercus tardifolia,"USA: (Texas: Chisos Mts), MEXICO: (Coahuila)"
Quercus tinkhamii,"MEXICO: (Nuevo León, San Luis Potosí)"
Quercus tomentella,"USA: (California: Channel Islands), MEXICO: (Baja California (Norte): Isla Guadalupe)"
Quercus toumeyi,"USA: (SE Arizona, SW New Mexico, W Texas), MEXICO: (Sonora, Chihuahua)"
Quercus toxicodendrifolia,MEXICO: (Hidalgo)
Quercus trinitatis,"MEXICO: (Hidalgo, Puebla)"
Quercus tristis,"MEXICO: (Chiapas), CENTRAL AMERICA: GUATEMALA (Chimaltenango, Chiquimula, Guatemala, Huehuetenango, Jalapa, Jutiapa, Quetzaltenango, Sacatepéquez, San Marcos, Sololá), EL SALVADOR"
Quercus tuberculata,"MEXICO: (Baja California (Norte), Sonora, Chihuahua, Sinaloa, Durango, Nayarit, Michoacán)"
Quercus tuitensis,MEXICO: (Jalisco)
Quercus turbinella,"USA: (Arizona, California, Colorado, Nevada, New Mexico, Texas, Utah), MEXICO: (Baja California (Norte), Sonora, Chihuahua)"
Quercus undata,MEXICO: (Durango)
Quercus ×undulata (Q. gambelii Nutt. × Q. grisea Liebm.),"USA: From which states?, MEXICO: (Chihuahua)"
Quercus urbanii,"MEXICO: (Sonora, Sinaloa, W Durango, N Nayarit, Jalisco, México State, Guerrero)"
Quercus uxoris,"MEXICO: (Jalisco, Aguascalientes, Colima, Guerrero, Oaxaca, Chiapas)"
Quercus vallicola,MEXICO: (México DF)
Quercus vaseyana,"USA: (Texas), MEXICO: (Chihuahua, Coahuila, Nuevo León)"
Quercus verde,MEXICO: (Nuevo León)
Quercus vicentensis,"MEXICO: (Chiapas), CENTRAL AMERICA: GUATEMALA ?, EL SALVADOR"
Quercus viminea,"USA: (S Arizona), MEXICO: (Sonora, W Chihuahua, Sinaloa, W Durango, N Nayarit, Jalisco, Aguascalientes, Guanajuato)"
Quercus wislizeni,"USA: (California, Oregon), MEXICO: (Baja California (Norte))"
Quercus wislizeni,"USA: (S California), MEXICO: (Baja California (Norte))"
Quercus wislizeni,"USA: (California), MEXICO: (Baja California (Norte))"
Quercus xalapensis,"MEXICO: (Nuevo León, Tamaulipas, San Luis Potosí, Querétaro, Hidalgo, Veracruz, Puebla, Chiapas), CENTRAL AMERICA: GUATEMALA ?, HONDURAS, NICARAGUA"
Quercus xylina,MEXICO:
