"","geometry","elevation","elev_units"
"269",c(-109.291944, 29.574167),1149,"meters"
"270",c(-109.814167, 30.737222),1577,"meters"
"271",c(-108.2907, 28.1133),1952,"meters"
"272",c(-107.674222, 25.900083),1391,"meters"
"273",c(-110.198611, 30.861944),1511,"meters"
"274",c(-110.223, 30.825),1535,"meters"
"275",c(-105.87169, 25.2652),2328,"meters"
"276",c(-115.575, 30.89111),1573,"meters"
"277",c(-115.49714, 31.06531),2182,"meters"
"278",c(-115.4, 30.96667),2407,"meters"
"279",c(-115.4667, 31.06667),1856,"meters"
"280",c(-115.85, 32.1),1502,"meters"
"281",c(-115.493056, 31.015278),2490,"meters"
"282",c(-115.720833, 31.6875),1332,"meters"
"283",c(-115.49792, 31.01475),2490,"meters"
"284",c(-116.6, 32.033333),416,"meters"
"285",c(-115.45, 31.05),2224,"meters"
"286",c(-115.566667, 30.983333),1999,"meters"
"287",c(-115.5, 31.05),2404,"meters"
"288",c(-115.583333, 30.833333),1257,"meters"
"289",c(-115.55, 30.833333),1609,"meters"
"290",c(-115.483333, 30.95),2437,"meters"
"291",c(-116.15, 32.433333),1319,"meters"
"292",c(-115.947278, 32.011167),1628,"meters"
"293",c(-115.4637, 31.0439),2224,"meters"
"294",c(-115.9166667, 32.0416667),1667,"meters"
"295",c(-115.4666667, 31.0333333),2224,"meters"
"296",c(-115.9166667, 32.05),1667,"meters"
"297",c(-115.9472778, 32.0111667),1628,"meters"
"298",c(-116.50002, 32.04998),719,"meters"
"299",c(-115.615899, 31.045613),1503,"meters"
"300",c(-115.90796, 32.04614),1667,"meters"
"301",c(-115.56667, 30.98333),1999,"meters"
"302",c(-115.33164, 30.8121),1833,"meters"
"303",c(-115.60524, 30.9654),1543,"meters"
"304",c(-115.2333, 30.58333),1450,"meters"
"305",c(-115.9868, 32.23),1608,"meters"
"306",c(-115.46667, 31.06667),1856,"meters"
"307",c(-115.4833, 31.0667),2182,"meters"
"308",c(-115.45, 31.03333),2224,"meters"
"309",c(-115.5667, 31.0667),1651,"meters"
"310",c(-115.8667, 31.8833),1686,"meters"
"311",c(-115.48002, 31.01292),2490,"meters"
"312",c(-115.43333, 31),2437,"meters"
"313",c(-116.0333, 32.15),1583,"meters"
"314",c(-115.78333, 31.76667),1523,"meters"
"315",c(-115.50833, 30.86667),2115,"meters"
"316",c(-115.947444, 32.010833),1628,"meters"
"317",c(-115.928027, 32.044249),1667,"meters"
"318",c(-116.125, 32.48111111),1296,"meters"
"319",c(-114.155211, 29.070126),395,"meters"
"320",c(-116.3, 30.9833),61,"meters"
"321",c(-116.45, 32.45),867,"meters"
"322",c(-116.444, 31.43669),280,"meters"
"323",c(-116.766667, 32.0333333),289,"meters"
"324",c(-116.616667, 31.966667),357,"meters"
"325",c(-115.55, 31.333333),1125,"meters"
"326",c(-116.116667, 32.4),1391,"meters"
"327",c(-116.2333333, 31.2),238,"meters"
"328",c(-116.324, 30.9789),-4,"meters"
"329",c(-116.324167, 30.978333),-4,"meters"
"330",c(-116.44449, 31.43673),280,"meters"
"331",c(-116.6604, 31.6942),51,"meters"
"332",c(-116.31667, 31.3),231,"meters"
"333",c(-116.23333, 31.2),238,"meters"
"334",c(-116.46041, 31.62537),348,"meters"
"335",c(-116.82856, 32.00169),133,"meters"
"336",c(-116.864167, 32.261111),287,"meters"
"337",c(-116.676361, 31.912027),216,"meters"
"338",c(-109.2286111, 29.93361111),1001,"meters"
"339",c(-110.9736111, 31.25),1347,"meters"
"340",c(-110.0752778, 30.56361111),1300,"meters"
"341",c(-110.1952778, 30.95916667),1472,"meters"
"342",c(-110.0294444, 30.80694444),1267,"meters"
"343",c(-109.2733333, 29.98388889),686,"meters"
"344",c(-110.7327778, 31.31),1545,"meters"
"345",c(-108.8111111, 28.30666667),1735,"meters"
"346",c(-110.8736111, 30.98055556),1129,"meters"
"347",c(-109.7166667, 28.56666667),841,"meters"
"348",c(-110.7166667, 30.87222222),1396,"meters"
"349",c(-109.6505556, 30.59),1399,"meters"
"350",c(-109.23733, 29.93839),794,"meters"
"351",c(-105.53333, 25.08333),1999,"meters"
"352",c(-102.46667, 28.88333),1527,"meters"
"353",c(-106.22083, 26.875),1812,"meters"
"354",c(-106.28333, 28.95),1589,"meters"
"355",c(-107.582509, 29.054256),2097,"meters"
"356",c(-109.2372, 29.93833),794,"meters"
"357",c(-109.9083, 30.85833),1901,"meters"
"358",c(-109.7167, 28.56667),841,"meters"
"359",c(-109.9, 30.86667),1901,"meters"
"360",c(-110.54778, 30.81944),1493,"meters"
"361",c(-110.57333, 30.81639),1229,"meters"
"362",c(-108.94083, 31.19056),1505,"meters"
"363",c(-108.90306, 31.16889),1637,"meters"
"364",c(-109.22222, 30.58806),1819,"meters"
"365",c(-108.79694, 31.28861),1816,"meters"
"366",c(-109.04472, 31.29083),1401,"meters"
"367",c(-108.98972, 31.28333),1485,"meters"
"368",c(-109.00111, 31.27833),1485,"meters"
"369",c(-110.4875, 30.96722),1345,"meters"
"370",c(-111.10334, 31.19158),1296,"meters"
"371",c(-111.07913, 31.16315),1325,"meters"
"372",c(-111.09609, 31.19402),1296,"meters"
"373",c(-110.38243, 31.00895),1872,"meters"
"374",c(-110.74891, 30.65449),1431,"meters"
"375",c(-110.76207, 30.61711),1406,"meters"
"376",c(-110.7588, 30.68863),1299,"meters"
"377",c(-109.55055, 30.0307),1410,"meters"
"378",c(-110.45111, 30.90556),1457,"meters"
"379",c(-111.91944, 31.26),1061,"meters"
"380",c(-109.47806, 31.15639),1309,"meters"
"381",c(-110.34167, 30.35861),1403,"meters"
"382",c(-109.65056, 30.59),1399,"meters"
"383",c(-109.26806, 30.57694),1477,"meters"
"384",c(-109.25139, 30.57917),1477,"meters"
"385",c(-108.99861, 31.3175),1525,"meters"
"386",c(-108.95694, 31.33028),1609,"meters"
"387",c(-108.92444, 31.3075),1595,"meters"
"388",c(-108.77861, 31.32139),1665,"meters"
"389",c(-109.656, 30.65),1275,"meters"
"390",c(-107.5, 29.6667),1883,"meters"
"391",c(-109.892021, 30.771304),1524,"meters"
"392",c(-110.57917, 30.72972),1563,"meters"
"393",c(-110.46333, 31.02611),1364,"meters"
"394",c(-110.3825, 31.05444),1766,"meters"
"395",c(-111.929118, 31.248729),1061,"meters"
"396",c(-111.607918, 31.059457),1178,"meters"
"397",c(-109.055278, 29.764444),1260,"meters"
"398",c(-110.62722, 30.37694),1072,"meters"
"399",c(-109.241191, 29.45982),617,"meters"
"400",c(-110.30694, 30.34194),1253,"meters"
"401",c(-110.36889, 30.32694),1491,"meters"
"402",c(-110.325, 30.3525),1403,"meters"
"403",c(-110.54028, 30.43083),1128,"meters"
"404",c(-110.54167, 30.36417),1039,"meters"
"405",c(-110.37917, 30.33611),1491,"meters"
"406",c(-110.41667, 30.48333),1416,"meters"
"407",c(-109.883333, 30.766667),1416,"meters"
"408",c(-110.379167, 30.336111),1491,"meters"
"409",c(-110.44083, 30.21306),1230,"meters"
"410",c(-110.31982, 30.35353),1403,"meters"
"411",c(-111.9356306, 31.24460282),1061,"meters"
"412",c(-111.9221477, 31.2533166),1061,"meters"
"413",c(-109.9615278, 30.97140018),2023,"meters"
"414",c(-110.9629913, 31.05623681),1501,"meters"
"415",c(-110.981503, 31.04527766),1501,"meters"
"416",c(-110.7974086, 30.34275711),1216,"meters"
"417",c(-110.8041898, 30.34389545),1216,"meters"
"418",c(-110.570527, 30.70018163),1559,"meters"
"419",c(-110.0030361, 31.26223119),1731,"meters"
"420",c(-109.9964893, 31.26949722),1731,"meters"
"421",c(-109.2286644, 30.52615066),1761,"meters"
"422",c(-109.2178318, 30.568062),1819,"meters"
"423",c(-109.7216194, 30.56211766),1575,"meters"
"424",c(-109.7094759, 30.57212125),1575,"meters"
"425",c(-110.522481, 31.15333834),1664,"meters"
"426",c(-110.5172247, 31.12019573),1668,"meters"
"427",c(-109.5, 31.3),1267,"meters"
"428",c(-109.6, 30.6),1370,"meters"
"429",c(-110.9, 30.9),1080,"meters"
"430",c(-111, 31.1),1475,"meters"
