,Cleaned_NAMES-USE-THIS,Determination_HIST_PIPED,code,fastQ.file.name,Specimen.CODE,singleTip,subgenus,section,clade,lociRetained-2018-07,collectionDate,collectors,CollNum,Georeference_source,country-georef,state_province_georef,County_georef,City_georef,site,livingCollectionsNumber,OrigSourceInfo,Original.Source-.Cultivated,latitude_georef,longitude_georef,voucher1,MOR_Acc_Num,SRA_bioproject_accession,SRA_biosample_accession,SRA_library_ID,SRA_filename,SRA_Run_Accession_RADseq,SRA_Publication,SRA_SEQUENCES.USED.IN,tip
PM329,Quercus stellata,Quercus stellata,PM329,PM-329,QUE001602,0,subg. Quercus,Quercus,Stellatae,2603,week of 4/24/2016,M. Fishbein et al.,PM-329,,USA,OK,Comanche,,Site 1 approximately .5 miles E of Mt. Scott Picnic Area,,,F,34.73748,-98.5272,"DUKE, unmounted",,PRJNA376740,SAMN11229722,PM-329,PM-329.fq.gz,SRR8860574,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_stellata|USA|OK|PM-329|QUE001602
PM331,Quercus marilandica,Quercus marilandica,PM331,PM-331,QUE001603,0,subg. Quercus,Lobatae,Laurifoliae,6159,week of 4/24/2016,M. Fishbein et al.,PM-331,,USA,OK,Comanche,,Site 1 with cups approximately .5miles E of Mt. Scott Picnic Area,,,F,34.73748,-98.5272,"DUKE, unmounted",,PRJNA376740,SAMN11229655,PM-331,PM-331.fq.gz,SRR8860724,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_marilandica|USA|OK|PM-331|QUE001603
PM335,Quercus marilandica,Quercus marilandica,PM335,PM-335,QUE001605,0,subg. Quercus,Lobatae,Laurifoliae,5473,week of 4/24/2016,M. Fishbein et al.,PM-335,,USA,OK,Comanche,,Summit of Mt. Scott,,,F,34.74459,-98.532,"DUKE, unmounted",,PRJNA376740,SAMN11229656,PM-335,PM-335.fq.gz,SRR8860723,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_marilandica|USA|OK|PM-335|QUE001605
PM338,Quercus humboldtii,Quercus humboldtii,PM338,PM-338,QUE001608,1,subg. Quercus,Lobatae,Erythromexicana,4770,Month: Oct 16,,PM-338,,Colombia,,,,Parque Natural Chicaque,,,F,,,"DUKE, unmounted",,PRJNA376740,SAMN11229618,PM-338,PM-338.fq.gz,SRR8860613,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_humboldtii|Colombia|NA|PM-338|QUE001608
OAKMOR001218,Quercus pubescens,Quercus pubescens,OAKMOR001218,OAK-MOR-001218,QUE001986,1,subg. Quercus,Quercus,Roburoids,5282,20-30 May 2017,Marco Cosimo Simeone,TUS13-005,,Italy,Latium,,,"Viterbo, ""Bagni"", along the Bachelet road",,,F,,,The Morton Arboretum (MOR),185589,PRJNA376740,SAMN11229678,OAK-MOR-001218,OAK-MOR-001218.fq.gz,SRR8860672,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_pubescens|Italy|Latium|TUS13-005|QUE001986
OAKMOR001151,Quercus robur,Quercus robur,OAKMOR001151,OAK-MOR-001151,QUE001987,0,subg. Quercus,Quercus,Roburoids,2775,20-30 May 2017,Marco Cosimo Simeone,TUS13-011,,Italy,Latium,,,Monti Aurunci,,,F,,,The Morton Arboretum (MOR),185588,PRJNA376740,SAMN11229684,OAK-MOR-001151,OAK-MOR-001151.fq.gz,SRR8860677,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_robur|Italy|Latium|TUS13-011|QUE001987
OAKMOR001152,Quercus coccifera,Quercus coccifera,OAKMOR001152,OAK-MOR-001152,QUE001988,1,subg. Cerris,Ilex,Himalaya-Mediterranean,6339,20-30 May 2017,Marco Cosimo Simeone,TUS13-013,,Italy,Apulia,,,Bari,,,F,,,The Morton Arboretum (MOR),185591,PRJNA376740,SAMN11229564,OAK-MOR-001152,OAK-MOR-001152.fq.gz,SRR8860712,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_coccifera|Italy|Apulia|TUS13-013|QUE001988
OAKMOR001153,Quercus faginea,Quercus faginea,OAKMOR001153,OAK-MOR-001153,QUE001989,0,subg. Quercus,Quercus,Roburoids,2737,1-10 June 2017,Javier Lopez Tirado,TUS13-012,,Spain,Andalusia,,,Cordoba,,,F,,,The Morton Arboretum (MOR),185590,PRJNA376740,SAMN11229600,OAK-MOR-001153,OAK-MOR-001153.fq.gz,SRR8860702,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_faginea|Spain|Andalusia|TUS13-012|QUE001989
OAKMOR001219,Quercus coccifera,Quercus coccifera,OAKMOR001219,OAK-MOR-001219,QUE001990,0,subg. Cerris,Ilex,Himalaya-Mediterranean,4270,1-10 June 2017,Javier Lopez Tirado,TUS13-015,,Spain,Andalusia,,,Jaen,,,F,,,NONE,,PRJNA376740,SAMN11229565,OAK-MOR-001219,OAK-MOR-001219.fq.gz,SRR8860713,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_coccifera|Spain|Andalusia|TUS13-015|QUE001990
OAKMOR001157,Quercus jonesii,Quercus jonesii,OAKMOR001157,OAK-MOR-001157,QUE001993,TRUE,subg. Quercus,Lobatae,Erythromexicana,5757,42923,"Andrew L. Hipp, Socorro González-Elizondo, Karen Rostro-Muro, Leslie Martínez-Rubí, Jorge Noriega-Villa, Arturo Castro-Castro, Zazil López-Dellamary, O. Huerta-Galván",2017103,wild collected- GPS,Mexico,Durango,Canelas,,Stop 1- roadside,,,F,25.04425,-106.26861,The Morton Arboretum (MOR),unmounted at MOR,PRJNA376740,SAMN11229629,OAK-MOR-001157,OAK-MOR-001157.fq.gz,SRR8860511,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_jonesii|Mexico|Durango|2017103|QUE001993
