,Cleaned_NAMES-USE-THIS,Determination_HIST_PIPED,code,fastQ.file.name,Specimen.CODE,singleTip,subgenus,section,clade,lociRetained-2018-07,collectionDate,collectors,CollNum,Georeference_source,country-georef,state_province_georef,County_georef,City_georef,site,livingCollectionsNumber,OrigSourceInfo,Original.Source-.Cultivated,latitude_georef,longitude_georef,voucher1,MOR_Acc_Num,SRA_bioproject_accession,SRA_biosample_accession,SRA_library_ID,SRA_filename,SRA_Run_Accession_RADseq,SRA_Publication,SRA_SEQUENCES.USED.IN,tip
CRL0030,Quercus oleoides,Quercus oleoides,CRL0030,CRL0030,QUE000881,FALSE,subg. Quercus,Virentes,,8224,,,CRL0030,,Costa Rica,,,,,,,F,11.0143,-85.6366,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394538|SAMN03394524,CRL0030_v|CRL0030_re,CRL0030.fq.gz,SRR1915543|SRR1915529,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_oleoides|Costa_Rica|NA|CRL0030|QUE000881
CRL0001,Quercus oleoides,Quercus oleoides,CRL0001,CRL0001,QUE000882,TRUE,subg. Quercus,Virentes,,10178,,,CRL0001,,Costa Rica,,,,,,,F,10.7809,-85.3617,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394537|SAMN03394523,CRL0001_v|CRL0001_re,CRL0001.fq.gz,SRR1915542|SRR1915528,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_oleoides|Costa_Rica|NA|CRL0001|QUE000882
HNDA09,Quercus oleoides,Quercus oleoides,HNDA09,HNDA09,QUE000883,FALSE,subg. Quercus,Virentes,,5736,,,HNDA09,,Honduras,,,,,,,,14.0333,-86.5833,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394553,HNDA09_v,,SRR1915558,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); Hipp et al., 2019 (Oaks of the World)",Quercus_oleoides|Honduras|NA|HNDA09|QUE000883
MXSA3017,Quercus oleoides,Quercus oleoides,MXSA3017,MXSA3017,QUE000884,FALSE,subg. Quercus,Virentes,,5147,,,MXSA3017,,Mexico,,,,"La Cruz/Sayula, Veracruz",,,F,17.90929081,-95.01801543,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394557,MXSA3017_v,,SRR1915562,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); Hipp et al., 2019 (Oaks of the World)",Quercus_oleoides|Mexico|NA|MXSA3017|QUE000884
BZBB1,Quercus oleoides,Quercus oleoides,BZBB1,BZBB1,QUE000885,FALSE,subg. Quercus,Virentes,,4528,,,BZBB1,,Belize,,,,Burrell Boom,,,F,17.2412,-88.7467,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394536,BZBB1_v,,SRR1915541,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); Hipp et al., 2019 (Oaks of the World)",Quercus_oleoides|Belize|NA|BZBB1|QUE000885
CUVN10,Quercus sagraeana,Quercus sagraena,CUVN10,CUVN10,QUE000886,TRUE,subg. Quercus,Virentes,,5814,,,CUVN10,,Cuba,,,,Viñales,,,F,22.365991,-83.430021,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394542,CUVN10_v,CUVN10.fq.gz,SRR1915547,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_sagraeana|Cuba|NA|CUVN10|QUE000886
CUCA4,Quercus sagraeana,Quercus sagraena,CUCA4,CUCA4,QUE000887,FALSE,subg. Quercus,Virentes,,3166,,,CUCA4,,Cuba,,,,Cabezas.  ,,,F,22.281153,-83.523505,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394539,CUCA4_v,,SRR1915544,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); Hipp et al., 2019 (Oaks of the World)",Quercus_sagraeana|Cuba|NA|CUCA4|QUE000887
CUMM5,Quercus sagraeana,Quercus sagraena,CUMM5,CUMM5,QUE000888,FALSE,subg. Quercus,Virentes,,269,,,CUMM5,,Cuba,,,,Minas de Matahambre,,,F,22.353153,-83.565257,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394540,CUMM5_v,,SRR1915545,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); Hipp et al., 2019 (Oaks of the World)",Quercus_sagraeana|Cuba|NA|CUMM5|QUE000888
CUSV6,Quercus sagraeana,Quercus sagraena,CUSV6,CUSV6,QUE000889,FALSE,subg. Quercus,Virentes,,4473,,,CUSV6,,Cuba,,,,San Vicente,,,F,22.940115,-82.364504,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394541,CUSV6_v,,SRR1915546,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); Hipp et al., 2019 (Oaks of the World)",Quercus_sagraeana|Cuba|NA|CUSV6|QUE000889
BJSL25,Quercus brandegeei,Quercus brandegeei,BJSL25,BJSL25,QUE000890,TRUE,subg. Quercus,Virentes,,9193,,,BJSL25,,Mexico,Baja CA Sur,,,"Sierra la Laguna, Baja del Sur, Mexico",,,F,23.5001,-110.0635,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394534|SAMN03394520,BJSL25_v|BJSL25_re,BJSL25.fq.gz,SRR1915539|SRR1915525,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_brandegeei|Mexico|Baja_CA_Sur|BJSL25|QUE000890
BJVL19,Quercus brandegeei,Quercus brandegeei,BJVL19,BJVL19,QUE000891,FALSE,subg. Quercus,Virentes,,8569,,,BJVL19,,Mexico,Baja CA Sur,,,"Valle Perdido, Baja del Sur, Mexico",,,F,23.7039,-110.137,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394535|SAMN03394521,BJVL19_v|BJVL19_re,BJVL19.fq.gz,SRR1915540|SRR1915526,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); Hipp et al., 2018. New Phytol. (Oaks of the Americas); Hipp et al., 2019 (Oaks of the World)",Quercus_brandegeei|Mexico|Baja_CA_Sur|BJVL19|QUE000891
MXGT4,Quercus fusiformis,Quercus fusiformis,MXGT4,MXGT4,QUE000892,TRUE,subg. Quercus,Virentes,,6615,,,MXGT4,,Mexico,Nuevo Leon,,,,,,,25.2858,-99.9467,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394556,MXGT4_v,,SRR1915561,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); Hipp et al., 2019 (Oaks of the World)",Quercus_fusiformis|Mexico|Nuevo_Leon|MXGT4|QUE000892
MXED8,Quercus fusiformis,Quercus fusiformis,MXED8,MXED8,QUE000893,FALSE,subg. Quercus,Virentes,,5206,,,MXED8,,Mexico,Tamaulipas,,,"Cerro del Diente, Tamaulipas, Mexico",,,F,22.591389,-97.906389,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394555,MXED8_v,MXED8.fq.gz,SRR1915560,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); McVay et al., 2017. PRSB. (white oaks); Hipp et al., 2018. New Phytol. (Oaks of the Americas); McVay et al., 2017.  Genome (Gambels oak); Hipp et al., 2019 (Oaks of the World)",Quercus_fusiformis|Mexico|Tamaulipas|MXED8|QUE000893
TXGR3,Quercus fusiformis,Quercus fusiformis,TXGR3,TXGR3,QUE000894,FALSE,subg. Quercus,Virentes,,4147,,,TXGR3,,USA,TX,,,,,,,31.2814,-97.7342,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394559,TXGR3_v,,SRR1915564,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); Hipp et al., 2019 (Oaks of the World)",Quercus_fusiformis|USA|TX|TXGR3|QUE000894
TXMD3,Quercus fusiformis,Quercus fusiformis,TXMD3,TXMD3,QUE000895,FALSE,subg. Quercus,Virentes,,4595,,,TXMD3,,USA,TX,,,,,,,31.9472,-97.6708,University of Minnesota Bell Museum of Natural History (MIN),,PRJNA277574,SAMN03394560,TXMD3_v,,SRR1915565,"Cavender et al., 2015. Molecular Ecology (Virentes)","Cavender et al., 2015. Molecular Ecology (Virentes); Hipp et al., 2019 (Oaks of the World)",Quercus_fusiformis|USA|TX|TXMD3|QUE000895
DM1,Quercus ciliaris,Cyclobalanopsis gracilis|=Quercus ciliaris,DM1,DM1,QUE000896,TRUE,subg. Cerris,Cyclobalanopsis,Acuta,7939,,,DM1,,China,Zhejiang,Tiantai,,,,,,29.281,121.058,NONE,,PRJNA400129,SAMN07557133,SRA11,,SRR5984316,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_ciliaris|China|Zhejiang|DM1|QUE000896
DM2,Quercus kerrii,Cyclobalnaopsis kerrii|=Quercus kerrii,DM2,DM2,QUE000897,TRUE,subg. Cerris,Cyclobalanopsis,CTB lineage,7229,40772,Min DENG,DM2,,China,Yunnan,Puer,,,,,,22.264,100.89,NONE,,PRJNA400129,SAMN07557139,SRA16,,SRR5984310,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_kerrii|China|Yunnan|DM2|QUE000897
DM3,Quercus rex,Cyclobalanopsis rex|=Quercus rex,DM3,DM3,QUE000898,TRUE,subg. Cerris,Cyclobalanopsis,CTB lineage,6560,40771,Min DENG,DM3,,China,Yunnan,Caiyang,,,,,,22.606,101.056,NONE,,PRJNA400129,SAMN07557153,SRA30,,SRR5984306,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_rex|China|Yunnan|DM3|QUE000898
DM5,Quercus blakei,Cyclobalanopsis blakei|=Quercus blakei,DM5,DM5,QUE000899,TRUE,subg. Cerris,Cyclobalanopsis,Semiserrata,7284,41233,Min DENG,DM5,,China,Hainan,Baisha,,,,,,19.063,109.552,NONE,,PRJNA400129,SAMN07557129,SRA7,,SRR5984294,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_blakei|China|Hainan|DM5|QUE000899
DM6,Quercus oxyodon,Cyclobalanopsis oxyodon|=Quercus oxyodon,DM6,DM6,QUE000900,TRUE,subg. Cerris,Cyclobalanopsis,Glauca,7663,40847,Min DENG,DM6,,China,Yunnan,Malipo,,,,,,23.165,104.79,NONE,,PRJNA400129,SAMN07557149,SRA26,,SRR5984279,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_oxyodon|China|Yunnan|DM6|QUE000900
DM7,Quercus arbutifolia,Cyclobalanopsis arbutifolia|=Quercus arbutifolia,DM7,DM7,QUE000901,TRUE,subg. Cerris,Cyclobalanopsis,Acuta,7204,40825,Min DENG,DM7,,China,Fujian,Shanghang,,,,,,25.341,116.845,NONE,,PRJNA400129,SAMN07557125,SRA3,,SRR5984298,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_arbutifolia|China|Fujian|DM7|QUE000901
DM8,Quercus multinervis,Cyclobalanopsis multinervis|=Quercus multinervis,DM8,DM8,QUE000902,TRUE,subg. Cerris,Cyclobalanopsis,Glauca,5865,,,DM8,,China,Zhejiang,Longquan,,,,,,27.881,119.172,NONE,,PRJNA400129,SAMN07557146,SRA23,,SRR5984284,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_multinervis|China|Zhejiang|DM8|QUE000902
DM9,Quercus schottkyana,Cyclobalanopsis glaucoides|=Quercus schottkyana,DM9,DM9,QUE000903,TRUE,subg. Cerris,Cyclobalanopsis,Glauca,5316,41172,Min DENG,DM9,,China,Yunnan,Kunming,,,,,,25.151,102.747,NONE,,PRJNA400129,SAMN07557154,SRA31,,SRR5984305,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_schottkyana|China|Yunnan|DM9|QUE000903
DM10,Quercus fleuryi,Cyclobalanopsis fleuryi|=Quercus fleuryi,DM10,DM10,QUE000904,TRUE,subg. Cerris,Cyclobalanopsis,Semiserrata,7517,41077,Min DENG,DM10,,China,Guangxi,Nancaihe,,,,,,19.124,109.078,NONE,,PRJNA400129,SAMN07557137,SRA15,,SRR5984312,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_fleuryi|China|Guangxi|DM10|QUE000904
DM11,Quercus pachyloma,Cyclobalanopsis pachyloma|=Quercus pachyloma,DM11,DM11,QUE000905,TRUE,subg. Cerris,Cyclobalanopsis,Semiserrata,6431,40823,Min DENG,DM11,,China,Fujian,Fuzhou,,,,,,26.058,119.392,NONE,,PRJNA400129,SAMN07557150,SRA27,,SRR5984280,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_pachyloma|China|Fujian|DM11|QUE000905
DM12,Quercus patelliformis,Cyclobalanopsis patelliformis|=Quercus patelliformis,DM12,DM12,QUE000906,TRUE,subg. Cerris,Cyclobalanopsis,Semiserrata,7175,41078,Min DENG,DM12,,China,Hainan,Changjiang,,,,,,19.088,109.195,NONE,,PRJNA400129,SAMN07557151,SRA28,,SRR5984287,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_patelliformis|China|Hainan|DM12|QUE000906
DM16,Quercus delavayi,Cyclobalanopsis delavayi|=Quercus delavayi,DM16,DM16,QUE000907,TRUE,subg. Cerris,Cyclobalanopsis,CTB lineage,6829,41916,Min DENG,DM16,,China,Yunnan,Songming,,,,,,25.322,102.78,NONE,,PRJNA400129,SAMN07557135,SRA13,,SRR5984314,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_delavayi|China|Yunnan|DM16|QUE000907
DM18,Quercus lamellosa,Cyclobalanopsis lamellosa|=Quercus lamellosa,DM18,DM18,QUE000908,TRUE,subg. Cerris,Cyclobalanopsis,,5969,,,DM18,,China,Yunnan,Yingjiang,,,,,,25.253,98.016,NONE,,PRJNA400129,SAMN07557142,SRA19,,SRR5984307,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_lamellosa|China|Yunnan|DM18|QUE000908
DM19,Quercus chapensis,Cyclobalanopsis chapensis|=Quercus chapensis,DM19,DM19,QUE000909,TRUE,subg. Cerris,Cyclobalanopsis,Semiserrata,7238,41271,Min DENG,DM19,,China,Yunnan,Menghai,,,,,,21.845,110.117,NONE,,PRJNA400129,SAMN07557131,SRA9,,SRR5984290,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_chapensis|China|Yunnan|DM19|QUE000909
DM20,Quercus championii,Cyclobalanopsis championii|=Quercus championii,DM20,DM20,QUE000910,TRUE,subg. Cerris,Cyclobalanopsis,CTB lineage,6072,40823,Min DENG,DM20,,China,Fujian,Fuzhou,,,,,,26.06,119.392,NONE,,PRJNA400129,SAMN07557130,SRA8,,SRR5984293,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_championii|China|Fujian|DM20|QUE000910
DM22,Quercus myrsinifolia,Cyclobalanopsis myrasinifolia|=Quercus myrasinifolia|=Quercus myrsinifolia,DM22,DM22,QUE000911,TRUE,subg. Cerris,Cyclobalanopsis,Glauca,8741,,,DM22,,China,Zhejiang,Tiantai,,,,,,29.281,121.058,NONE,,PRJNA400129,SAMN07557147,SRA24,,SRR5984281,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_myrsinifolia|China|Zhejiang|DM22|QUE000911
DM23,Quercus sessilifolia,Cyclobalanopsis sessilifolia|=Quercus sessilifolia,DM23,DM23,QUE000912,TRUE,subg. Cerris,Cyclobalanopsis,Acuta,8138,40828,Min DENG,DM23,,China,Fujian,Wuyishang,,,,,,27.736,117.668,NONE,,PRJNA400129,SAMN07557155,SRA32,,SRR5984300,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_sessilifolia|China|Fujian|DM23|QUE000912
DM24,Quercus kouangsiensis,Cyclobalanopsis kouangsiensis|=Quercus kouangsiensis,DM24,DM24,QUE000913,TRUE,subg. Cerris,Cyclobalanopsis,Glauca,7673,41085,Min DENG,DM24,,China,Hainan,Linshui,,,,,,18.674,109.876,NONE,,PRJNA400129,SAMN07557141,SRA18,,SRR5984308,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_kouangsiensis|China|Hainan|DM24|QUE000913
DM28,Quercus chrysocalyx,Cyclobalanopsis chrysocalyx|=Quercus chrysocalyx,DM28,DM28,QUE000914,TRUE,subg. Cerris,Cyclobalanopsis,Glauca,7969,,,DM28,,,,,,Kunming Botanical Garden,,,?,,,NONE,,PRJNA400129,SAMN07557132,SRA10,,SRR5984289,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_chrysocalyx|NA|NA|DM28|QUE000914
DM30,Quercus annulata,Cyclobalanopsis annulata|=Quercus annulata,DM30,DM30,QUE000915,TRUE,subg. Cerris,Cyclobalanopsis,Glauca,6013,41226,Yi-Gang SONG,DM30,,China,Guangxi,Longzhou,,,,,,22.72,106.781,NONE,,PRJNA400129,SAMN07557124,SRA2,,SRR5984295,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_annulata|China|Guangxi|DM30|QUE000915
DM34,Quercus senescens,Quercus senescens,DM34,DM34,QUE000917,TRUE,subg. Cerris,Ilex,Himalayan subalpine,5697,41173,Min DENG,DM34,,China,Yunnan,Songming,,,,,,25.34,102.76,NONE,,,SAMN09658924,,,,"Jiang et al., (East Asian origins of European holly oaks, section Ilex)","Jiang et al., (East Asian origins of European holly oaks, section Ilex); Hipp et al., 2019 (Oaks of the World)",Quercus_senescens|China|Yunnan|DM34|QUE000917
DM35,Quercus acrodonta,Quercus acrodonta,DM35,DM35,QUE000918,TRUE,subg. Cerris,Ilex,East Asian Ilex,5683,40854,Min DENG,DM35,,China,Yunnan,Yanshan,,,,,,21.73,105.35,NONE,,,SAMN09658903,,,,"Jiang et al., (East Asian origins of European holly oaks, section Ilex)","Jiang et al., (East Asian origins of European holly oaks, section Ilex); Hipp et al., 2019 (Oaks of the World)",Quercus_acrodonta|China|Yunnan|DM35|QUE000918
DM36,Quercus longispica,Quercus longispica,DM36,DM36,QUE000919,TRUE,subg. Cerris,Ilex,Himalayan subalpine,2409,,,DM36,,China,Sichuang,Liangshan,,,,,,28.26,100.78,NONE,,PRJNA376740,SAMN11229649,DM36,DM36.fq.gz,SRR8860699,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_longispica|China|Sichuang|DM36|QUE000919
DM37,Quercus variabilis,Quercus varibilis|=Quercus variabilis,DM37,DM37,QUE000920,TRUE,subg. Cerris,Cerris,East Asian Cerris,10765,41358,Min DENG,DM37,,China,Yunnan,Kunming,,,,,,25.151,102.747,NONE,,PRJNA400129 (Deng- MiSEQ)||PRJNA376740(MOR- HiSeq),SAMN07557159 (Deng- MiSeq)||SAMN11229738(MOR- HiSeq),SRA_A2|DM37,DM37.fq.gz,SRR5984304|,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)- [MiSeq]; Oaks of World [HiSeq]","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_variabilis|China|Yunnan|DM37|QUE000920
DM38,Quercus rehderiana,Quercus rehderiana,DM38,DM38,QUE000921,TRUE,subg. Cerris,Ilex,Himalayan subalpine,8958,41173,Min DENG,DM38,,China,Yunnan, Songming,,,,,,25.34,102.76,NONE,,,SAMN09658934,,,,"Jiang et al., (East Asian origins of European holly oaks, section Ilex)","Jiang et al., (East Asian origins of European holly oaks, section Ilex); Hipp et al., 2019 (Oaks of the World)",Quercus_rehderiana|China|Yunnan|DM38|QUE000921
DM39,Quercus franchetii,Quercus franchetii,DM39,DM39,QUE000922,TRUE,subg. Cerris,Ilex,Early-diverging Ilex,10229,41569,Min DENG,DM39,,China,Yunnan,Chuxiong,,,,,,24.995,101.437,NONE,,PRJNA400129,SAMN07557161,SRA37,,SRR5984317,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_franchetii|China|Yunnan|DM39|QUE000922
DM40,Quercus aliena,Quercus aline|=Quercus aliena,DM40,DM40,QUE000923,TRUE,subg. Quercus,Quercus,Roburoids,4353,,,DM40,,,,,,Kunming Botanical Garden,,,?,,,NONE,,PRJNA400129,SAMN07557164,SRA40,,SRR5984320,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_aliena|NA|NA|DM40|QUE000923
DM41,Quercus yunnanensis,Quercus yunnanensis,DM41,DM41,QUE000924,TRUE,subg. Quercus,Quercus,Roburoids,5489,,,DM41,,,,,,Kunming Botanical Garden,,,?,,,NONE,,PRJNA376740,SAMN11229754,DM41,DM41.fq.gz,SRR8860721,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Quercus_yunnanensis|NA|NA|DM41|QUE000924
DM43,Quercus phillyreoides,Quercus phillyraeoides|=Quercus phillyreoides,DM43,DM43,QUE000925,TRUE,subg. Cerris,Ilex,East Asian Ilex,7803,40809,Deng MIN,DM43,,China,Hunan,Zhangjiajie,,,,,,29.35,110.468,NONE,,PRJNA400129,SAMN07557163,SRA39,,SRR5984319,"Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis)","Deng et al., 2018. Mol Phylogenet Evol (Phylogeny of East Asia oaks, Cyclobalanopsis); Hipp et al., 2019 (Oaks of the World)",Quercus_phillyreoides|China|Hunan|DM43|QUE000925
DM45,Lithocarpus longinux,Lithocarpus pseduoarcea|Lithocarpus longinux,DM45,DM45,QUE000926,TRUE,,,,5209,40848,Min DENG,DM45,,China,Yunnan,Malipo,,,,,,23.17,104.84,NONE,,PRJNA376740,SAMN11229506,DM45,DM45.fq.gz,SRR8860746,"Hipp et al., 2019 (Oaks of the World)","Hipp et al., 2019 (Oaks of the World)",Lithocarpus_longinux|China|Yunnan|DM45|QUE000926
